title,description
Leon: The Professional,"Thriller, Crime, Drama. new york, corruption, assassin, police brutality, loss of family, s.w.a.t., immigrant, hitman, training, revenge, murder, loneliness, neighbor, tragic love, cult film, neo-noir, complex relationship, complex characters. Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps."
Howl's Moving Castle,"Fantasy, Animation, Adventure. flying, witch, rain, castle, scarecrow, body exchange, hatter, bakery, demon, anime. When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking home."
GoodFellas,"Drama, Crime. prison, based on novel, florida, 1970s, mass murder, irish-american, drug traffic, biography, based on true story, murder, organized crime, gore, mafia, gangster, new york city, extreme violence, violence, brooklyn new york city, crime epic, tampa. The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway."
Forrest Gump,"Comedy, Drama, Romance. vietnam veteran, hippie, mentally disabled, running, based on novel, vietnam, vietnam war, friendship, love, family relationships, bully, mother son relationship, military, hugging, shrimping, wounded soldier, flashback, park bench, amputee. A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability."
Taxi Driver,"Crime, Drama. vietnam veteran, taxi, obsession, drug dealer, night shift, vigilante, alienation, misanthrope, shot to death, illegal prostitution, loner. A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process."
Dead Poets Society,"Drama. individual, philosophy, poetry, shakespeare, professor, literature, friendship, filmes focados em um professor. At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster."
Reservoir Dogs,"Crime, Thriller. traitor, jewelry, psychopath, thief, heist, betrayal, mystery, escape, gang, plan gone wrong, warehouse, ensemble cast, all male cast, told in flashback, heist gone wrong, foreshadowing, rendezvous, iconic, set in one room, uneasy alliance, rag tag group. A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel."
The Pianist,"Drama, War. individual, resistance, radio station, war crimes, loss of family, child murderer, hunger, world war ii, prisoners of war, homeland, deportation, hiding place, ghetto riot, jew persecution, liberation, warsaw ghetto, polish resistance, nazis, biography, classical music, panzer, pianist. The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski."
Once Upon a Time in the West,"Western. showdown, bounty, bounty hunter, loss of brother, sadness, blackmail, harmonica, anti hero, auction, dying and death, peasant, insanity, spaghetti western. This classic western masterpiece is an epic film about a widow whose land and life are in danger as the railroad is getting closer and closer to taking them over. A mysterious harmonica player joins forces with a desperado to protect the woman and her land."
The Silence of the Lambs,"Crime, Drama, Thriller. based on novel, psychopath, horror, suspense, serial killer, psychological thriller, cannibal, fbi agent, animal in cast credits, cannibalism. FBI trainee, Clarice Starling ventures into a maximum-security asylum to pick the diseased brain of Hannibal Lecter, a psychiatrist turned homicidal cannibal. Starling needs clues to help her capture a serial killer. but her Faustian relationship with Lecter soon leads to his escape, and now two deranged killers are on the loose."
Room,"Drama, Thriller. based on novel, carpet, isolation, kidnapping, imprisonment, grandparents, escape, hospital, dog, captive, mother son relationship, shed, skylight. Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?"
The Shining,"Horror, Thriller. hotel, isolation, hotelier, colorado, maze, bartender, ax, delusion, loneliness, caretaker, vision, snow, writer, alcoholic, snowed in, off season. Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within."
Inception,"Action, Thriller, Science Fiction, Mystery, Adventure. loss of lover, dream, kidnapping, sleep, subconsciousness, heist, redemption, female hero. Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious."
The Lord of the Rings: The Return of the King,"Adventure, Fantasy, Action. elves, orcs, middle-earth (tolkien), based on novel, suspicion, bravery, war, honor, troll, brutality, violence, ghost, end of trilogy, quest, sword and sorcery. Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm."
Interstellar,"Adventure, Drama, Science Fiction. saving the world, artificial intelligence, father son relationship, single parent, nasa, expedition, wormhole, space travel, famine, black hole, dystopia, race against time, quantum mechanics, spaceship, space, rescue, family relationships, farmhouse, robot, astronaut, scientist, father daughter relationship, single father, farmer, space station, imax, astrophysics, zero gravity, courage, time paradox, relativity. Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage."
"The Good, the Bad and the Ugly","Western. bounty hunter, refugee, gold, anti hero, gallows, hitman, army, outlaw, shootout, moral ambiguity, spaghetti western. While the Civil War rages between the Union and the Confederacy, three men – a quiet loner, a ruthless hit man and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold."
Se7en,"Crime, Mystery, Thriller. self-fulfilling prophecy, detective, s.w.a.t., drug dealer, evisceration, lust and impulsiveness, rage and hate, pride and vanity, immoderateness, insomnia, investigation, pension, police, serial killer. Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case."
The Usual Suspects,"Drama, Crime, Thriller. law, relatives, theft, criminal, criminal mastermind, hungarian, sibling. Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess."
Star Wars,"Adventure, Action, Science Fiction. android, galaxy, hermit, death star, lightsaber, jedi, rescue mission, empire, rebellion, planet, smuggler, the force, space opera, galactic war, stormtrooper, totalitarianism. Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire."
Memento,"Mystery, Thriller. individual, insulin, tattoo, waitress, amnesia, motel, insurance salesman, revenge, memory loss, polaroid, flashback, neo-noir. Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember."
A Clockwork Orange,"Science Fiction, Drama. prison, street gang, rape, adolescence, sexuality, beethoven, parent child relationship, social worker, living together, society, dystopia, controversy, controversial, violence, futuristic society. Demonic gang-leader Alex goes on the spree of rape, mugging and murder with his pack of ""droogs"". But he's a boy who also likes Beethoven's Ninth and a bit of ""the old in-out, in-out"". He later finds himself at the mercy of the state and its brainwashing experiment designed to take violence off the streets."
Citizen Kane,"Mystery, Drama. journalist, newspaper, florida, capitalist, banker, media tycoon, art collector, sleigh, money, child. Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event."
The Prestige,"Drama, Mystery, Thriller. competition, secret, obsession, magic, dying and death, class society, illusion, tricks, hostility, class, rivalry. A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences."
Apocalypse Now,"Drama, War. guerrilla, river, vietnam, vietcong, cambodia, army, insanity, tribe, green beret, jungle, apocalypse, death, napalm. At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory."
Vertigo,"Mystery, Romance, Thriller. san francisco, sense of guilt, bachelor, obsession, vertigo, museum, necklace, grave, plan, painting, film noir. A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Drama, Comedy, War. usa president, general, cold war, strategic air command, nuclear missile, war room, bomber pilot, nuclear weapons, ex nazi, doomsday device, absurdism. Insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union. As soon as the actions of General ""Buck"" Turgidson are discovered, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike. Near the end is a scene that is probably the most uniquely unforgettable performance of Slim Pickens in his movie career. Peter Sellers plays multiple roles in this film."
It's a Wonderful Life,"Drama, Family, Fantasy. holiday, angel, based on novel, bank, suicide attempt, small town, christmas tree, great depression, christmas eve, feel-good ending, guardian angel, christmas. George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money, hides it from Billy, and George's troubles begin."
Lion,"Drama. based on novel, indian lead, adoption, australia, based on true story, india, missing child, long lost relative, tasmania, passenger train, street child. A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family."
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Fantasy, Action. elves, dwarves, orcs, middle-earth (tolkien), hobbit, based on novel, mountain, fireworks, castle, volcano, password, death of a friend, uncle, mirror, wizard, sword and sorcery. Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed."
The Grand Budapest Hotel,"Comedy, Drama. hotel, painting, wartime, gunfight, theft, mentor protégé relationship, european, hotel lobby, renaissance painting. The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century."
Scarface,"Action, Crime, Drama, Thriller. miami, corruption, capitalism, cuba, prohibition, brother sister relationship, loss of sister, cocaine, cult film, bitterness. After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall."
The Lion King,"Family, Animation, Drama. loss of parents, wild boar, uncle, shaman, redemption, king, scar, hyena, meerkat. A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it."
The Imitation Game,"History, Drama, Thriller, War. gay, england, world war ii, mathematician, biography, logician, cryptography. Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II."
Oldboy,"Drama, Thriller, Mystery, Action. sushi restaurant, rage and hate, notebook, daughter, hostility, sin, revenge, loneliness, urination, anger, catholic, incest, south hypnosis. With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate businessman seeks revenge on his captors."
Back to the Future,"Adventure, Comedy, Science Fiction, Family. clock tower, car race, terrorist, delorean, lightning, guitar, plutonium, sports car, inventor, journey in the past, time travel, race against time, partner, misfit, mad scientist, fish out of water, teenage love, destiny, hidden identity, odd couple, escapade, disorder, chases and races, love and romance, teenage life, misfit partners, changing the past or future, getting home, inventions and discoveries. Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985."
The Lord of the Rings: The Two Towers,"Adventure, Fantasy, Action. elves, orcs, middle-earth (tolkien), hobbit, based on novel, explosive, cave, fort, army, mission, attack, guide, wizard, ring, sword and sorcery. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard."
My Neighbor Totoro,"Fantasy, Animation, Family. japan, mother, sister sister relationship, supernatural powers, leave, village, hospital, new neighbor, moving, new home, magical creature, cute, anime. Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her."
La La Land,"Comedy, Drama, Music, Romance. jazz, dance, passion, musical, casting, los angeles, pianist, theater, movie set, actress. Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart."
Alien,"Horror, Action, Thriller, Science Fiction. android, countdown, space marine, space suit, beheading, dystopia, biology, cowardice, spaceship, space, alien, female protagonist, outer space, parasite, h. r. giger, xenomorph. During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed."
Requiem for a Dream,"Crime, Drama. drug addiction, junkie, heroin, speed, diet, unsociability, illegal prostitution. The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body."
Gladiator,"Action, Drama, Adventure. rome, gladiator, arena, senate, roman empire, emperor, slavery, battlefield, blood, ancient world, father daughter relationship, combat, mother son relationship, dream sequence, chariot, philosopher, barbarian horde, 2nd century, successor. In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death."
Full Metal Jacket,"Drama, War. suicide, prostitute, helicopter, based on novel, journalism, sniper, propaganda, vietnam, recruit, war photographer, war correspondent, war, boot camp, rescue, jungle, infantry, sergeant, racism, violence, genocide, fighting, platoon, combat, discipline, obstacle course, peace sign, u.s. marine, mass grave, blanket party. A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue."
American Beauty,"Drama. male nudity, female nudity, adultery, parent child relationship, midlife crisis, coming out, first time, camcorder, virgin, nudity, film maker, estate agent, satire, loneliness, dark comedy, suburbia, coming of age, marijuana, exercise, bittersweet, affair. Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend."
Eternal Sunshine of the Spotless Mind,"Science Fiction, Drama, Romance. deja vu, regret, jealousy, amnesia, dream, operation, relationship problems, love, memory, brainwashing, relationship, heartbreak, nonlinear timeline, love story, bittersweet. Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake."
The Matrix,"Action, Science Fiction. saving the world, artificial intelligence, man vs machine, philosophy, prophecy, martial arts, self sacrifice, fight, insurgence, virtual reality, dystopia, truth, cyberpunk, woman director, messiah, gnosticism. Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth."
Saving Private Ryan,"Drama, History, War. war crimes, self sacrifice, war veteran, world war ii, war ship, airplane, bravery, normandy, parachute, troops, waffen ss, omaha beach, army, cowardice, american flag, war memorial, deserted town, military, 1940s. As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home."
Return of the Jedi,"Adventure, Action, Science Fiction. rebel, brother sister relationship, emperor, space battle, matter of life and death, spaceship, death star, jabba the hutt, ewoks, jedi, space opera. As Rebel leaders map their strategy for an all-out attack on the Emperor's newer, bigger Death Star. Han Solo remains frozen in the cavernous desert fortress of Jabba the Hutt, the most loathsome outlaw in the universe, who is also keeping Princess Leia as a slave girl. Now a master of the Force, Luke Skywalker rescues his friends, but he cannot become a true Jedi Knight until he wages his own crucial battle against Darth Vader, who has sworn to win Luke over to the dark side of the Force."
The Wolf of Wall Street,"Crime, Drama, Comedy. corruption, sex, sexuality, bank, humor, biography, wall street, marriage crisis, rise and fall, stockbroker, drug, stock broker. A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography."
Captain Fantastic,"Adventure, Comedy, Drama, Romance. suicide, socialism, food, survivalist, off the grid, non-registered home schooled, noam chomsky. A father living in the forests of the Pacific Northwest with his six young kids tries to assimilate back into society."
Her,"Romance, Science Fiction, Drama. artificial intelligence, computer, love, loneliness, transhumanism, heartbreak, near future, singularity, bittersweet. In the not so distant future, Theodore, a lonely writer purchases a newly developed operating system designed to meet the user's every needs. To Theordore's surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all."
Blade Runner,"Science Fiction, Drama, Thriller. artificial intelligence, bounty hunter, dystopia, genetics, fugitive, cyberpunk, los angeles, tech noir, neo-noir, futurista, lluvia. In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans."
Inglourious Basterds,"Drama, Action, Thriller, War. paris, guerrilla, cinema, self sacrifice, dynamite, mexican standoff, world war ii, jew persecution, jew, nazis, masochism, sadism, scalp, winston churchill, knife in hand, anti semitism, gore, swastika, blood bath, german occupation of france, violence, gun violence. In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers."
Mr. Nobody,"Science Fiction, Drama, Romance, Fantasy. surrealism. Nemo Nobody leads an ordinary existence with his wife and 3 children; one day, he wakes up as a mortal centenarian in the year 2092."
